Name,LTP:Last Trade Price,High,Low,CLOSEUP,YCP:Yesterday Closing Price,Change,Trade,Value,Volume
VFSTDL,14.6,15,14.6,14.6,15,-0.4,277,5.126,"349,384"
HFL,14.5,14.7,14.2,14.2,14.6,-0.1,50,0.569,"39,670"
BARKAPOWER,14.3,14.7,14.3,14.3,14.7,-0.4,243,4.569,"318,099"
DOMINAGE,13.9,14.3,13.9,13.9,14.3,-0.4,345,8.882,"634,274"
AFCAGRO,13.8,14.2,13.8,13.8,14.2,-0.4,89,1.247,"90,234"
OAL,13.6,14.4,13.6,13.6,14,-0.4,895,19.673,"1,422,661"
SHEPHERD,13.6,14,13.5,13.6,13.7,-0.1,206,4.076,"299,031"
NFML,13.5,14.1,13.4,13.5,13.8,-0.3,229,3.979,"294,121"
ACTIVEFINE,13.5,14.5,13.5,13.5,13.9,-0.4,285,10.486,"774,267"
MTB,13.5,13.5,13.5,13.5,13.9,-0.4,30,0.309,"22,894"
MAKSONSPIN,13,13.4,13,13,13.3,-0.3,367,7.645,"584,775"
MLDYEING,12.9,13.4,12.8,12.9,13.1,-0.2,190,4.626,"356,015"
SAFKOSPINN,12.7,12.7,12.4,12.4,12.7,0,45,0.77,"61,825"
GRAMEENS2,12.7,12.9,12.7,12.8,12.7,0,24,0.227,"17,785"
ETL,12.5,13,12.5,12.5,12.8,-0.3,690,24.435,"1,928,386"
SSSTEEL,12.5,12.8,12.5,12.5,12.8,-0.3,698,23.829,"1,897,693"
NCCBANK,12.1,12.1,11.8,12,12,0.1,118,10.319,"859,786"
PREMIERBAN,11.9,12.1,11.8,11.9,12,-0.1,229,8.313,"697,294"
UNITEDFIN,11.6,11.9,11.5,11.6,11.8,-0.2,96,1.862,"161,102"
CAPITECGBF,11.4,12.2,11.2,11.4,11.3,0.1,884,31.629,"2,736,665"
WMSHIPYARD,11.3,11.8,11.3,11.3,11.6,-0.3,831,20.424,"1,789,705"
CAPMIBBLMF,11.3,11.9,11.3,11.3,11.6,-0.3,87,1.904,"167,774"
DSSL,11.3,11.7,11.3,11.3,11.6,-0.3,197,5.691,"499,844"
NRBCBANK,11.2,11.7,11.2,11.2,11.5,-0.3,202,10.751,"959,325"
DHAKABANK,11.1,11.2,11,11.1,11.1,0,230,10.59,"954,459"
PDL,10.9,11.4,10.9,10.9,11.2,-0.3,782,17.473,"1,591,204"
SHURWID,10.9,11.2,10.9,10.9,11.2,-0.3,52,0.314,"28,758"
NRBBANK,10.7,10.9,10.7,10.7,11,-0.3,490,36.3,"3,389,403"
GSPFINANCE,10.7,11,10.6,10.7,10.9,-0.2,236,5.541,"516,915"
MERCANBANK,10.6,10.6,10.6,10.6,10.9,-0.3,53,0.955,"90,116"
UCB,10.5,10.9,10.5,10.5,10.8,-0.3,122,2.045,"192,078"
